"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
2,100,3,-1.9312,0.99467,-0.34119
0,101,3,-0.48123,2.0544,-0.61891
1,101,3,-0.48209,2.058,-0.60595
2,101,3,-0.52254,2.0593,-0.56694
0,102,3,-0.71199,1.1935,1.7041
1,102,3,-0.70629,1.216,1.6904
2,102,3,-0.70777,1.2495,1.6652
0,103,3,-1.0883,-0.63185,1.8032
1,103,3,-1.0752,-0.64476,1.8065
2,103,3,-1.0661,-0.63185,1.8164
0,104,3,-0.76041,-1.1247,1.7298
1,104,3,-0.76861,-1.0897,1.7484
2,104,3,-0.7659,-1.1014,1.7423
0,105,3,-0.90723,1.8734,-0.70894
1,105,3,-0.91095,1.8811,-0.68334
2,105,3,-0.89939,1.8866,-0.68334
0,106,3,-0.73412,1.4616,1.4696
1,106,3,-0.75619,1.4515,1.4685
2,106,3,-0.72903,1.4515,1.4821
0,107,3,1.1033,1.803,0.60595
1,107,3,1.0772,1.8098,0.63185
2,107,3,1.0641,1.813,0.64476
0,108,3,1.0165,1.9447,0.14157
1,108,3,1.0403,1.932,0.14157
0,109,3,-0.67062,0.42237,2.0511
1,109,3,-0.67141,0.40912,2.0535
2,109,3,-0.67062,0.42237,2.0511
0,110,3,-1.2624,1.7131,0.5539
1,110,3,-1.2997,1.6974,0.51463
0,111,3,-0.26423,2.0895,-0.63185
1,111,3,-0.27755,2.0917,-0.61891
2,111,3,-0.28985,2.0861,-0.63185
0,112,3,-1.0294,1.884,-0.4752
1,112,3,-1.0294,1.884,-0.4752
2,112,3,-1.0294,1.884,-0.4752
0,113,3,-0.63106,2.0134,0.61891
1,113,3,-0.64455,2.0131,0.60595
2,113,3,-0.64567,2.0166,0.59297
0,114,3,-1.8741,1.1014,-0.33112
1,114,3,-1.8787,1.0897,-0.34383
0,115,3,-0.97141,1.8309,0.73443
1,115,3,-0.95092,1.8466,0.7217
2,115,3,-0.96491,1.8186,0.77246
0,116,3,-0.83588,-1.0306,1.7534
1,116,3,-0.8439,-0.99467,1.7702
0,117,3,0.56473,-2.0166,-0.67051
1,117,3,0.56473,-2.0166,-0.67051
0,118,3,0.043897,0.81022,-2.0437
1,118,3,0.043897,0.81022,-2.0437
2,118,3,0.056298,0.82275,-2.0384
0,119,3,0.20836,1.2048,-1.8276
1,119,3,0.19714,1.2048,-1.8289
0,120,3,-1.8885,0.9584,0.59189
1,120,3,-1.8851,0.99467,0.54041
2,120,3,-1.8876,0.98262,0.55368
0,121,3,-0.5365,1.9621,0.83524
1,121,3,-0.54853,1.9587,0.83524
2,121,3,-0.56054,1.9553,0.83524
0,122,3,1.2242,1.82,0.15503
1,122,3,1.2,1.8322,0.19538
2,122,3,1.1426,1.8671,0.20882
0,123,3,-0.93468,1.9606,0.34265
1,123,3,-0.90872,1.968,0.36928
2,123,3,-0.89844,1.9775,0.34265
0,124,3,-0.57502,-1.8749,0.99467
1,124,3,-0.58468,-1.8654,1.0067
2,124,3,-0.58282,-1.8595,1.0187
0,125,3,-0.79259,1.7734,1.0306
1,125,3,-0.76228,1.7934,1.0187
2,125,3,-0.75126,1.7981,1.0187
0,126,3,1.1473,1.8749,0.060708
1,126,3,1.101,1.9024,0.060708
2,126,3,1.0656,1.922,0.074193
0,127,3,-1.0529,-0.56694,1.8453
1,127,3,-1.0398,-0.57997,1.8487
2,127,3,-1.0511,-0.57997,1.8423
0,128,3,1.0805,1.841,0.52774
1,128,3,1.0934,1.837,0.51463
2,128,3,1.0692,1.8475,0.52774
0,129,3,1.0304,1.942,0.047219
1,129,3,0.99463,1.961,0.020238
2,129,3,0.94603,1.9844,0.047219
0,130,3,-0.54212,1.4515,1.5602
1,130,3,-0.5201,1.4616,1.5583
0,131,3,-1.2335,1.6109,0.84771
1,131,3,-1.2136,1.6259,0.84771
2,131,3,-1.1842,1.6278,0.88491
0,132,3,0.66896,0.44881,2.046
1,132,3,0.66896,0.44881,2.046
0,133,3,0.018769,2.0391,-0.82275
1,133,3,0.031042,2.0234,-0.86014
2,133,3,0.031357,2.0439,-0.81022
0,134,3,0.16263,1.7048,-1.3793
1,134,3,0.16263,1.7048,-1.3793
2,134,3,0.18171,1.6857,-1.4002
0,135,3,0.96846,1.9094,0.50151
1,135,3,0.97873,1.9006,0.51463
2,135,3,0.95533,1.9125,0.51463
0,136,3,-1.8005,1.2272,0.29537
1,136,3,-1.7948,1.2384,0.28314
2,136,3,-1.7855,1.2495,0.29291
0,137,3,0.39724,0.74713,-2.0296
1,137,3,0.38645,0.7217,-2.0408
0,138,3,-0.56758,1.3581,1.6335
1,138,3,-0.55214,1.3793,1.6211
0,139,3,-1.0844,1.4616,1.234
1,139,3,-1.0634,1.4717,1.2404
0,140,3,-0.84881,1.7257,1.0662
1,140,3,-0.83821,1.7308,1.0662
2,140,3,-0.83821,1.7308,1.0662
0,141,3,0.10102,-0.11463,2.1936
1,141,3,0.087527,-0.1281,2.1934
2,141,3,0.10098,-0.1281,2.1928
0,142,3,0.49386,0.38257,2.1083
1,142,3,0.50732,0.36928,2.1075
2,142,3,0.54659,0.35597,2.0999
0,143,3,-0.88296,1.9435,0.52774
1,143,3,-0.85905,1.9541,0.52774
0,144,3,-0.87737,-0.88491,1.8117
1,144,3,-0.89954,-0.88491,1.8008
2,144,3,-0.87737,-0.88491,1.8117
0,145,3,1.1943,-1.8235,0.28924
1,145,3,1.2156,-1.8072,0.30261
0,146,3,0.93404,1.9906,-0.006746
1,146,3,0.93404,1.9906,-0.006746
0,147,3,0.64461,0.4356,2.0567
1,147,3,0.64461,0.4356,2.0567
2,147,3,0.64461,0.4356,2.0567
0,148,3,-1.0405,-0.35597,1.9042
1,148,3,-1.0637,-0.35597,1.8913
2,148,3,-1.0637,-0.35597,1.8913
0,149,3,0.18009,1.8878,-1.1131
1,149,3,0.19235,1.8934,-1.1014
2,149,3,0.20397,1.8922,-1.1014
0,150,3,1.0464,0.94624,-1.6866
1,150,3,1.0464,0.94624,-1.6866
2,150,3,1.0464,0.94624,-1.6866
0,151,3,-0.19151,-0.4356,2.1468
1,151,3,-0.13859,-0.44881,2.1481
2,151,3,-0.12541,-0.44881,2.1489
0,152,3,-0.018768,0.82275,-2.0391
1,152,3,-0.01886,0.79766,-2.049
