"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
4,40,3,-0.64261,1.4616,1.5119
4,40,3,-0.64261,1.4616,1.5119
0,41,3,-0.15982,2.0797,-0.69616
0,41,3,-0.15982,2.0797,-0.69616
1,41,3,-0.15982,2.0797,-0.69616
1,41,3,-0.12151,2.0822,-0.69616
2,41,3,-0.12151,2.0822,-0.69616
2,41,3,-0.12151,2.0822,-0.69616
3,41,3,-0.12151,2.0822,-0.69616
3,41,3,-0.15982,2.0797,-0.69616
4,41,3,-0.15982,2.0797,-0.69616
4,41,3,-0.15982,2.0797,-0.69616
0,42,3,1.41,0.060708,-1.6862
0,42,3,1.41,0.060708,-1.6862
1,42,3,1.41,0.060708,-1.6862
1,42,3,1.4097,0.074193,-1.6859
2,42,3,1.4097,0.074193,-1.6859
2,42,3,1.4097,0.074193,-1.6859
3,42,3,1.4097,0.074193,-1.6859
3,42,3,1.3897,0.020238,-1.704
4,42,3,1.3897,0.020238,-1.704
4,42,3,1.3897,0.020238,-1.704
0,43,3,-0.7802,1.9685,0.59297
0,43,3,-0.7802,1.9685,0.59297
1,43,3,-0.7802,1.9685,0.59297
1,43,3,-0.77069,1.9798,0.56694
2,43,3,-0.77069,1.9798,0.56694
2,43,3,-0.77069,1.9798,0.56694
3,43,3,-0.77069,1.9798,0.56694
3,43,3,-0.75853,1.9845,0.56694
4,43,3,-0.75853,1.9845,0.56694
4,43,3,-0.75853,1.9845,0.56694
0,44,3,0.28397,2.0438,0.75981
0,44,3,0.28397,2.0438,0.75981
1,44,3,0.28397,2.0438,0.75981
1,44,3,0.29717,2.0466,0.74713
2,44,3,0.29717,2.0466,0.74713
2,44,3,0.29717,2.0466,0.74713
3,44,3,0.29717,2.0466,0.74713
3,44,3,0.25945,2.0517,0.74713
4,44,3,0.25945,2.0517,0.74713
4,44,3,0.25945,2.0517,0.74713
0,45,3,-1.8917,1.0662,0.34621
0,45,3,-1.8917,1.0662,0.34621
1,45,3,-1.8917,1.0662,0.34621
1,45,3,-1.8917,1.0662,0.34621
0,46,3,-0.70243,-1.6249,1.3045
0,46,3,-0.70243,-1.6249,1.3045
1,46,3,-0.70243,-1.6249,1.3045
1,46,3,-0.74202,-1.6332,1.2717
2,46,3,-0.74202,-1.6332,1.2717
2,46,3,-0.74202,-1.6332,1.2717
3,46,3,-0.74202,-1.6332,1.2717
